bcl::storage::Table<double>   subunits nr_coordinates   rgyr_sqr 
1M5I                                 1            105    502.422 
1M5W                                 8           1936    1310.79 
1M65                                 3            702     750.53 
1M7Y                                 2            848     798.16 
1M93                                 3            322    446.416 
1M9Z                                 1            105    164.628 
1MAI                                 1            119    190.021 
1MBM                                 1            198    294.569 
1MC2                                 1            122    199.959 
1MDC                                 1            131    200.498 
1MF7                                 1            194    236.248 
1MG4                                 1            101    172.831 
1MG7                                 2            703    1676.46 
1MGT                                 1            169     230.41 
1MIX                                 1            206     398.68 
1MJ4                                 1             79      147.5 
1MJ5                                 1            297    315.678 
1MJU                                 2            431    592.022 
1MK0                                 1             97    160.105 
1MK4                                 2            314    400.872 
1MKA                                 2            342    382.095 
1MKK                                 2            187    381.227 
1MN8                                 1             95    160.291 
1MNN                                 1            290    417.788 
1MQO                                 1            221     252.53 
1MSC                                 2            258    350.409 
1MTP                                 2            355     422.24 
1MTY                                 6           2116    1667.51 
1MUN                                 2            450    614.517 
1MUS                                 2            916    1060.84 
1MUW                                 1            386    541.718 
1MV8                                 2            872    927.675 
1MVF                                 2            170    326.308 
1MVL                                 3            519    805.136 
1MW9                                 1            556    898.682 
1MWP                                 1             96    169.855 
1MWQ                                 2            199    278.986 
1MXI                                 2            312    365.142 
1MXR                                 2            678    672.826 
1MY7                                 2            209    368.768 
1MZ9                                 5            225    444.988 
1N08                                 1            154    221.482 
1N0Q                                 2            184    290.222 
1N0W                                 4            247    318.992 
1N13                                 6            480    472.497 
1N1F                                 1            153     223.29 
1N1J                                 2            165     256.88 
1N2D                                 3            340     622.76 
1N2Z                                 1            245     362.71 
1N3L                                 2            664    1200.84 
1N40                                 1            394     437.53 
1N4W                                 1            498    473.583 
1N5U                                 1            583    789.755 
1N62                                 6           2492    1912.85 
1N7S                                 4            276    921.792 
1N7Z                                 2            656    790.545 
1N8V                                 1            101     168.62 
1N93                                 4           1340    1129.57 
1N9P                                 4            788    768.995 
1NBA                                 4           1011    762.166 
1NC5                                 1            363    373.137 
1NEP                                 1            130    207.895 
1NF9                                 2            414    444.842 
1NFP                                 2            456    511.053 
1NG6                                 1            148    312.528 
1NH2                                 4            380    824.055 
1NIG                                 1            146    261.299 
1NIJ                                 1            317    432.214 
1NJH                                 2            216    291.507 
1NJR                                 2            498    533.989 
1NKD                                 2            118    214.154 
1NKG                                 1            508    641.449 
1NKI                                 2            268    332.144 
1NKP                                 2            171     698.12 
1NKR                                 1            195    373.826 
